date,loopring
2024-02-10,0
2024-02-11,0
2024-02-12,21
2024-02-13,18
2024-02-14,22
2024-02-15,0
2024-02-16,18
2024-02-17,22
2024-02-18,0
2024-02-19,17
2024-02-20,0
2024-02-21,22
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,18
2024-02-26,15
2024-02-27,25
2024-02-28,32
2024-02-29,31
2024-03-01,36
2024-03-02,48
2024-03-03,56
2024-03-04,53
2024-03-05,41
2024-03-06,34
2024-03-07,22
2024-03-08,35
2024-03-09,0
2024-03-10,49
2024-03-11,59
2024-03-12,30
2024-03-13,40
2024-03-14,100
2024-03-15,67
2024-03-16,41
2024-03-17,41
2024-03-18,36
2024-03-19,29
2024-03-20,22
2024-03-21,21
2024-03-22,18
2024-03-23,0
2024-03-24,27
2024-03-25,17
2024-03-26,44
2024-03-27,26
2024-03-28,24
2024-03-29,27
2024-03-30,0
2024-03-31,0
2024-04-01,16
2024-04-02,15
2024-04-03,19
2024-04-04,0
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,19
2024-04-09,16
2024-04-10,0
2024-04-11,17
2024-04-12,17
2024-04-13,0
2024-04-14,17
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,10
2024-04-19,10
2024-04-20,11
2024-04-21,8
2024-04-22,9
2024-04-23,9
2024-04-24,8
2024-04-25,8
2024-04-26,6
2024-04-27,6
2024-04-28,7
2024-04-29,7
2024-04-30,10
2024-05-01,9
2024-05-02,9
